Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.92556726094005;µg-m3;85.0;100.0;85.0;R;1;49.119442;6.180833
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.575370553359717;µg-m3;93.0;99.0;92.0;R;1;49.358337;6.156942
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01065;Belleville sur Meuse;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;9.0;9.358878950506872;µg-m3;96.0;100.0;96.0;R;1;49.16778;5.387461
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02008;Port de Bouc Leque;Urbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;10.0;9.52770442436875;µg-m3;99.0;100.0;99.0;R;1;43.401952;4.981919
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02013;Fos Les Carabins;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;10.0;9.964712673165717;µg-m3;98.0;91.0;89.0;R;1;43.458927;4.934572
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02020;Rognac les Brets;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;8.0;8.099325659807011;µg-m3;98.0;100.0;98.0;R;1;43.510802;5.220046
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.879594656840212;µg-m3;99.0;100.0;99.0;R;1;43.675114;4.62921
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.427262274347441;µg-m3;99.0;100.0;99.0;R;1;43.639002;5.101097
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;12.0;12.240589386439517;µg-m3;99.0;100.0;99.0;R;1;43.4165306;5.222281
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03006;MARSEILLE RABATAU;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;12.0;12.486896227523818;µg-m3;97.0;100.0;97.0;R;1;43.276451;5.39736
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03014;MARSEILLE ST LOUIS;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;12.0;11.971565757114378;µg-m3;97.0;100.0;97.0;R;1;43.348048;5.360119
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03027;PLAN AUPS/STE  BAUME;Rurale près des villes;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;12.0;11.746774193548386;µg-m3;26.0;3.0;1.0;N;-1;43.335201;5.727365
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.490830449827039;µg-m3;99.0;100.0;99.0;R;1;43.530285;5.440912
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;Moy. annuelle;13.0;12.789748929769809;µg-m3;99.0;100.0;99.0;R;1;43.453584;5.466672
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.726676670899211;µg-m3;99.0;100.0;99.0;R;1;43.305287;5.394716
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03064;LA VALETTE/LA GARDE;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.094324045407655;µg-m3;90.0;12.0;11.0;N;-1;43.135902;6.011513
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03070;ESTEREL;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.563769302760896;µg-m3;98.0;100.0;98.0;R;1;43.437874;6.76839
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.639251361687371;µg-m3;99.0;100.0;99.0;R;1;43.131113;5.924184
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.483886583679103;µg-m3;99.0;100.0;99.0;R;1;43.949673;4.804341
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03084;LE PONTET;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;14.0;14.139707630140272;µg-m3;97.0;99.0;96.0;R;1;43.960144;4.856731
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03091;Avignon Rocade De Gaulle;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;23.0;23.1129713423831;µg-m3;84.0;9.0;8.0;N;-1;43.9314;4.826875
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04002;GENNEVILLIERS;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.835521324290173;µg-m3;99.0;100.0;99.0;R;1;48.930319;2.29435
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;12.0;12.410911094783254;µg-m3;93.0;100.0;93.0;R;1;48.891666;2.346667
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04024;GONESSE;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.7456608654751;µg-m3;97.0;100.0;97.0;R;1;48.99083;2.444722
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;6.0;6.156140350877195;µg-m3;26.0;2.0;1.0;N;-1;48.868772;2.311231
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04034;VITRY-SUR-SEINE;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.473141157629811;µg-m3;100.0;100.0;100.0;R;1;48.775897;2.375788
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04048;Zone Rurale Nord;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.76558090310443;µg-m3;97.0;100.0;97.0;R;1;49.100277;2.343889
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;12.0;12.42607944732301;µg-m3;99.0;100.0;99.0;R;1;48.86212;2.344616
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04058;Auto A1 -Saint-Denis;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;14.0;14.45186976524714;µg-m3;97.0;100.0;97.0;R;1;48.925278;2.356667
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04066;Zone rurale Sud;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.61743530764807;µg-m3;99.0;100.0;99.0;R;1;48.364166;2.236944
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04122;RN6-MELUN;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;12.0;11.866137994906255;µg-m3;99.0;100.0;99.0;R;1;48.528057;2.653611
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04131;Boulevard Haussmann;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;11.0;11.389459116595555;µg-m3;99.0;100.0;99.0;R;1;48.873333;2.330278
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04156;BOBIGNY;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.338562403146998;µg-m3;96.0;100.0;96.0;R;1;48.902504;2.4525
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04173;RD934 Coulommiers;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;10.0;10.231808194390627;µg-m3;97.0;91.0;88.0;R;1;48.8059;3.084158
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04180;RN20 - MONTLHERY;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;15.0;15.29238240112332;µg-m3;98.0;100.0;98.0;R;1;48.64093;2.26872
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04181;RAMBOUILLET;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.15156698427279;µg-m3;99.0;100.0;99.0;R;1;48.63373;1.830529
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04328;Zone Rurale SE;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.265012205044754;µg-m3;98.0;100.0;98.0;R;1;48.3547;2.6453
2022/01/01 00:00:00;2022/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;15.0;14.81515693996901;µg-m3;96.0;100.0;96.0;R;1;48.838615;2.412781
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.143922489723979;µg-m3;97.0;100.0;97.0;R;1;49.498295;0.758833
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05089;Le Havre Lafaurie-montant;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;12.0;11.71719985834022;µg-m3;97.0;100.0;97.0;R;1;49.500187;0.110903
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.552512155591568;µg-m3;99.0;100.0;99.0;R;1;49.514686;0.100645
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06003;Douai Theuriet;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.141292101162623;µg-m3;95.0;100.0;95.0;R;1;50.37822;3.06586
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06006;Valenciennes Wallon;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;15.0;14.827012302284695;µg-m3;65.0;100.0;65.0;N;-1;50.36425;3.52273
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06011;Denain Villars;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;9.620231923601626;µg-m3;85.0;99.0;84.0;N;-1;50.32276;3.39593
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR06133;Cartignies;Rurale près des villes;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;8.06337354409315;µg-m3;55.0;100.0;55.0;N;-1;50.09225;3.85003
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG04;ZAG CLERMONT-FERRAND;FR07004;Montferrand;Urbaine;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;9.0;9.120417820867955;µg-m3;;;;R;1;45.79728;3.113833
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZRE02;ZR AUVERGNE-RHONE-ALPES;FR07022;Paray le Fresil;Rurale régionale;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;9.0;9.227101096224105;µg-m3;;;;N;-1;46.652668;3.600667
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZRE02;ZR AUVERGNE-RHONE-ALPES;FR07031;Rageade;Rurale régionale;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;4.0;4.319646745705299;µg-m3;;;;R;1;45.10472;3.277361
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG04;ZAG CLERMONT-FERRAND;FR07034;Clermont-Esplanade Gare;Urbaine;PM2.5;Trafic;Oui;mesures indicatives;Moy. annuelle;10.0;9.89937424789411;µg-m3;;;;R;1;45.775696;3.09625
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZRE02;ZR AUVERGNE-RHONE-ALPES;FR07052;Aurillac-Lagarde;Urbaine;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;7.0;7.076575578532742;µg-m3;;;;R;1;44.92008;2.441082
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZRE02;ZR AUVERGNE-RHONE-ALPES;FR07057;Moulins Centre;Urbaine;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;12.0;11.685266821345717;µg-m3;;;;N;-1;46.5619722;3.34063888888888
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZRE02;ZR AUVERGNE-RHONE-ALPES;FR07058;Montluçon;Urbaine;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;9.0;8.826993022989821;µg-m3;;;;R;1;46.340723;2.593945
2022/01/01 00:00:00;2022/12/31 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08016;Montpellier Prés d'Arènes;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.381802223522497;µg-m3;98.0;99.0;98.0;R;1;43.5915;3.88681
